pickup_location,destination_location,num_stops,distance_km,duration_min,actual_eta_min,weather,time_of_day,traffic_level
Colemanfurt,Baileytown,1,106.68,148.0,161.93,Cloudy,Afternoon,Light
East Sharonside,Jacksonport,2,446.44,449.18,451.03,Rainy,Afternoon,Light
Gomezburgh,Donnaside,3,35.06,36.7,34.8,Rainy,Morning,Moderate
Stoneport,Clarkport,0,30.48,41.28,38.12,Clear,Morning,Light
East Anthony,Sarahland,2,286.17,325.8,332.42,Rainy,Night,Light
Lake Steven,Port Sheilamouth,2,154.29,226.98,229.54,Rainy,Morning,Heavy
West Amanda,South Edward,3,54.91,69.84,74.96,Rainy,Evening,Light
North Holly,Evansstad,2,73.53,82.11,81.17,Rainy,Afternoon,Light
Lake Jamesview,West Bobby,0,497.91,709.57,643.62,Foggy,Night,Heavy
North David,Lewishaven,3,181.04,242.69,259.79,Rainy,Night,Moderate
Laurenberg,Buchananfort,3,92.81,112.7,104.98,Cloudy,Afternoon,Moderate
Rachelfurt,East Chadside,0,429.56,496.65,523.95,Clear,Evening,Heavy
Guerreromouth,Jimenezton,2,497.6,730.95,683.69,Rainy,Evening,Heavy
Chrischester,New Christopherburgh,1,372.95,435.37,396.11,Cloudy,Afternoon,Moderate
Lake Timothy,Port Christinaburgh,2,203.8,275.26,287.95,Foggy,Morning,Heavy
Cookstad,Melodyfurt,0,166.13,211.65,222.38,Cloudy,Morning,Light
Conwayfurt,Chavezville,1,226.24,241.11,241.73,Clear,Night,Moderate
Baileyton,Kaitlyntown,3,171.81,194.74,198.49,Foggy,Night,Moderate
South Josephside,Matthewburgh,0,46.06,68.87,66.6,Clear,Night,Heavy
Kellymouth,South Tanya,2,112.71,133.2,143.27,Clear,Night,Moderate
East Wendy,Lake Michael,2,107.43,139.96,135.3,Foggy,Morning,Moderate
Jensenfurt,Lake Michael,0,487.23,719.56,730.68,Rainy,Afternoon,Moderate
Lake Angelaborough,New Jim,3,38.53,38.86,35.61,Cloudy,Morning,Moderate
South Johnmouth,Wilsonville,0,272.83,386.48,348.59,Rainy,Night,Heavy
Port Stacy,Estradaport,3,494.38,607.53,611.71,Clear,Afternoon,Moderate
New Levi,Lauratown,0,319.15,454.11,434.81,Rainy,Afternoon,Moderate
New Stephenstad,South Tarachester,0,74.52,102.7,108.75,Cloudy,Night,Light
Port Christopherbury,East Dylanberg,0,55.14,64.07,70.14,Rainy,Evening,Light
Port Lisastad,South Destinyport,2,334.32,354.68,380.58,Cloudy,Morning,Light
Port Travisborough,Lake Michael,2,478.47,654.31,669.88,Cloudy,Night,Moderate
Riddlebury,North Robert,1,342.67,488.53,535.46,Cloudy,Afternoon,Light
Lake Heather,East Michael,1,375.1,515.55,561.29,Foggy,Morning,Moderate
Codytown,Harrisberg,2,349.24,389.99,382.88,Rainy,Afternoon,Moderate
Lunaland,Sandersfurt,3,444.95,574.28,543.31,Clear,Evening,Moderate
Elijahview,Christopherborough,2,260.82,325.22,301.36,Clear,Evening,Moderate
Stevensview,West Troy,0,25.61,28.5,27.9,Cloudy,Night,Moderate
New Martha,Jessicaburgh,2,254.31,283.71,285.65,Rainy,Afternoon,Heavy
Simpsonport,Monicachester,2,21.86,22.5,23.2,Clear,Morning,Light
Emilyshire,South Amy,2,290.08,431.27,414.0,Foggy,Evening,Moderate
West Eric,Danielton,3,44.01,61.12,62.51,Clear,Morning,Heavy
Melissafurt,Port Seantown,3,12.31,16.45,16.31,Cloudy,Morning,Moderate
East Michaelfort,Port Stacy,0,358.23,443.93,416.46,Rainy,Morning,Light
Smithfort,Myersside,3,252.69,300.45,291.17,Rainy,Evening,Moderate
Port Crystal,Kimmouth,2,371.24,462.16,499.17,Rainy,Night,Heavy
Hollymouth,East Robert,1,394.23,507.5,484.64,Foggy,Night,Moderate
Paultown,New Alejandraport,2,140.18,151.13,147.82,Clear,Night,Heavy
Simsview,East Beth,2,394.98,465.01,486.41,Foggy,Evening,Heavy
Port Ashleytown,South Douglasfort,0,199.81,292.14,310.47,Cloudy,Afternoon,Heavy
West Yeseniaburgh,Williamstad,3,85.04,93.05,97.57,Foggy,Morning,Light
Christinamouth,New Timothy,1,93.4,98.26,98.6,Clear,Morning,Moderate
North Michelle,Patrickside,2,126.47,143.23,139.09,Foggy,Afternoon,Light
Lopezberg,Curtisburgh,2,164.0,182.55,170.66,Foggy,Evening,Moderate
East Whitney,Hannahton,1,455.69,640.56,647.87,Clear,Evening,Moderate
North Jamesport,Steinstad,0,368.22,545.72,516.84,Clear,Evening,Heavy
Port Sean,New Michelle,1,102.15,129.57,118.57,Foggy,Afternoon,Moderate
Dawnland,East Jenniferhaven,0,75.1,90.19,97.63,Rainy,Night,Light
East Ryanview,West Robert,3,120.46,132.01,138.33,Clear,Afternoon,Light
Sotoville,Morrischester,3,271.06,300.62,302.77,Foggy,Evening,Light
North Joshua,Port Tylerburgh,1,369.87,491.05,469.87,Cloudy,Evening,Moderate
South Kimberlyfurt,Michaelshire,2,370.11,482.58,473.37,Cloudy,Evening,Light
South Josefurt,Johnathantown,1,22.91,23.99,25.86,Rainy,Night,Light
Samanthaborough,Jeffreyland,3,200.36,299.39,324.76,Foggy,Night,Heavy
Stewartborough,Wangside,3,96.02,103.43,100.64,Rainy,Morning,Moderate
Katherinestad,Port Ashley,0,120.15,134.17,147.29,Rainy,Afternoon,Heavy
East Dianatown,Christopherhaven,1,102.3,124.97,123.55,Cloudy,Night,Moderate
North Julianstad,Lake Michael,2,398.09,534.23,554.12,Rainy,Morning,Heavy
New Christopher,Laurenfurt,1,466.54,594.35,634.4,Cloudy,Evening,Light
West Charles,South Wendyville,0,443.12,568.05,607.98,Cloudy,Afternoon,Light
New Angela,Port Daisy,0,278.17,331.88,312.51,Cloudy,Night,Heavy
Jeffreyview,Oconnorland,0,451.15,633.71,636.56,Cloudy,Night,Light
Danielleshire,Stephaniechester,2,368.81,406.16,432.3,Cloudy,Evening,Light
Lake Veronica,Anthonyville,2,468.07,641.64,630.52,Foggy,Night,Light
Lyonsmouth,Garciafort,2,356.91,514.37,530.79,Rainy,Evening,Moderate
Vickieburgh,Kingborough,1,335.15,366.76,371.51,Clear,Night,Light
South Matthew,Port Michael,1,66.38,79.08,82.66,Clear,Evening,Light
Port Scottstad,North Jamestown,0,180.19,182.25,170.36,Cloudy,Night,Heavy
Lake Stephanieside,Jacobville,0,205.79,208.25,189.67,Rainy,Night,Moderate
New Lucas,Lake Michele,2,195.98,262.1,271.57,Foggy,Evening,Moderate
North Davidmouth,Tiffanyburgh,1,89.64,121.4,128.01,Foggy,Morning,Moderate
Lauraside,New Elizabeth,0,210.52,240.92,219.26,Clear,Afternoon,Light
Loribury,Lake Melissafurt,1,113.97,138.29,137.64,Cloudy,Night,Moderate
West Matthew,Port Paul,3,400.71,532.14,568.49,Clear,Night,Moderate
West Courtney,Williamfort,2,31.93,44.37,40.45,Foggy,Evening,Heavy
Lake Sara,East Leonardmouth,2,32.78,40.66,44.45,Clear,Afternoon,Heavy
Gutierrezborough,Bakerport,3,190.87,219.88,218.67,Cloudy,Morning,Heavy
Brianburgh,South Katelynport,3,173.83,234.6,226.64,Foggy,Night,Moderate
Cooperburgh,Goodmanside,2,365.27,529.14,501.17,Foggy,Night,Heavy
Colemantown,North Brianberg,3,417.95,470.68,445.69,Clear,Night,Heavy
Johnsonton,West Michael,0,492.2,713.04,653.86,Cloudy,Evening,Heavy
Martinborough,Smithfort,0,94.95,121.3,123.6,Foggy,Afternoon,Moderate
Sarahmouth,Mccormickmouth,2,264.15,383.57,372.72,Cloudy,Night,Light
Adamsburgh,New Paulastad,1,396.46,419.62,413.39,Foggy,Night,Light
Hawkinsmouth,Wongberg,0,428.68,627.25,622.85,Rainy,Morning,Heavy
Linborough,Lake Richard,0,336.72,340.75,363.45,Cloudy,Night,Heavy
Jamesfort,South Jasonside,3,105.34,150.53,156.32,Rainy,Night,Heavy
Robertside,Lake Royport,0,302.89,450.05,410.37,Rainy,Morning,Heavy
East Margaret,South Anthony,3,234.17,318.18,344.05,Cloudy,Morning,Light
South Jimmy,Philipborough,2,121.04,127.35,124.76,Clear,Afternoon,Heavy
Jasonfort,North Dominiquechester,3,169.83,207.52,203.16,Rainy,Morning,Heavy
West Candice,Briannachester,3,16.4,17.98,17.18,Foggy,Evening,Moderate
North Johnmouth,Port Bradstad,3,181.39,217.89,231.56,Rainy,Evening,Heavy
North Lindsay,East Charles,1,26.61,39.89,39.4,Cloudy,Morning,Light
Rogerstown,Sanchezville,1,152.28,161.87,166.03,Clear,Morning,Light
Lonniemouth,Phillipton,2,95.95,138.62,147.03,Rainy,Afternoon,Heavy
Bergland,Mckeeburgh,3,459.37,555.62,606.19,Foggy,Night,Light
Lake Bradleybury,Cabreraton,0,179.17,196.23,178.15,Cloudy,Evening,Heavy
South Christopher,Sharontown,3,81.5,94.0,86.59,Foggy,Evening,Heavy
West Catherine,North Zacharymouth,3,360.07,505.5,548.94,Clear,Evening,Moderate
South Sabrina,Alvaradomouth,3,180.28,189.53,204.24,Cloudy,Afternoon,Light
New Marilynview,Dillonmouth,3,276.55,361.46,379.95,Foggy,Morning,Moderate
Robertshire,Jasonfort,0,297.79,354.6,377.78,Foggy,Morning,Moderate
Carrollchester,Port Amy,3,276.8,368.15,387.84,Foggy,Night,Light
Kevinstad,Jennifermouth,3,443.86,542.08,526.67,Cloudy,Morning,Light
Ariasburgh,Scottport,0,97.05,126.19,138.14,Clear,Afternoon,Heavy
Hendersonfurt,Martinside,1,496.5,536.18,565.42,Cloudy,Night,Heavy
Lake Melissa,East Troybury,3,92.19,133.5,144.0,Clear,Night,Light
Lake Richard,Newtonburgh,3,477.82,593.97,634.1,Foggy,Night,Light
Port Mary,Beverlyberg,3,242.69,287.53,274.72,Cloudy,Night,Heavy
Mauricetown,West Kevin,2,134.83,136.27,149.21,Foggy,Afternoon,Moderate
West Matthewport,Lake Aaron,3,434.55,580.44,584.29,Foggy,Morning,Heavy
Lake Sabrina,New Michael,2,170.13,188.69,179.65,Cloudy,Night,Moderate
Mosleyside,North Bethanymouth,1,314.61,382.28,406.06,Foggy,Night,Moderate
Port William,Cindyhaven,2,214.97,238.27,257.33,Foggy,Afternoon,Moderate
Port Casey,Kennethmouth,3,228.58,277.4,291.02,Foggy,Evening,Heavy
Nelsonfort,New Rogerland,3,233.85,281.42,264.25,Foggy,Night,Moderate
Jamieshire,Goodmanbury,2,296.79,397.29,399.06,Cloudy,Evening,Light
East Jessicaton,Nicolemouth,2,176.5,208.59,212.06,Rainy,Night,Light
Maryburgh,Newtonshire,2,384.29,473.99,450.74,Foggy,Night,Moderate
Port Molly,North Michelle,0,292.52,310.92,333.2,Foggy,Evening,Light
North Joshua,West Dustin,0,30.74,43.16,39.33,Clear,Evening,Light
Lake Brandonview,Lopezberg,1,241.19,271.0,286.91,Clear,Evening,Light
Burtonside,Ryanton,0,483.65,648.44,648.33,Foggy,Morning,Moderate
Port James,Lake Ashleymouth,3,65.13,66.51,60.87,Clear,Morning,Heavy
Paulville,Lake Ann,2,97.89,126.58,121.74,Clear,Afternoon,Heavy
Robertsview,Hendersonhaven,1,253.88,368.09,390.94,Clear,Evening,Moderate
West Michaelside,Fordchester,1,252.52,335.64,327.64,Cloudy,Evening,Heavy
South Karenstad,Riveraland,0,352.9,440.5,420.77,Clear,Evening,Heavy
Lake Jose,Dianeview,0,445.59,449.07,467.11,Cloudy,Afternoon,Heavy
Bryanchester,Lindseymouth,3,456.1,666.52,707.69,Cloudy,Evening,Light
West Chrisbury,Port Matthew,2,298.19,444.01,425.14,Cloudy,Morning,Heavy
Lake Linda,Solisfurt,0,105.69,116.67,123.52,Cloudy,Evening,Moderate
Lake Thomasmouth,Lake Brianstad,0,277.96,319.5,332.7,Cloudy,Night,Heavy
Crawfordview,North Carol,1,371.73,553.87,555.8,Cloudy,Evening,Heavy
Daniellemouth,Thorntonton,3,117.62,152.69,142.21,Foggy,Night,Light
Port Amber,Johnsontown,2,90.94,117.74,116.63,Foggy,Afternoon,Moderate
Johnfort,Castroton,1,327.58,395.04,399.1,Foggy,Evening,Light
Murphyfurt,Stantonburgh,3,410.21,592.81,615.41,Clear,Afternoon,Heavy
East Shannon,New Tiffanyfurt,3,331.39,402.92,401.19,Clear,Afternoon,Moderate
Port Natashahaven,New Lori,3,389.37,553.07,578.76,Foggy,Afternoon,Heavy
New Dustin,New Natashafurt,0,149.86,151.48,153.94,Clear,Night,Heavy
South Kristenport,Griffinbury,0,11.28,14.51,14.07,Clear,Morning,Heavy
Howardtown,Susanchester,0,36.13,49.19,47.88,Foggy,Night,Moderate
Port Ronald,Lake Ricardostad,2,44.67,55.88,58.48,Rainy,Morning,Moderate
Trevorview,Jenkinsfort,1,50.26,63.39,66.42,Rainy,Evening,Moderate
Watkinsside,Mendozamouth,0,309.37,440.56,434.09,Rainy,Morning,Heavy
Bakerbury,Gregoryland,2,399.58,599.26,586.28,Clear,Morning,Moderate
Juanside,Larrymouth,0,298.43,407.48,402.16,Rainy,Evening,Heavy
Maryberg,New Timothy,0,242.8,252.63,230.25,Foggy,Night,Light
Wilsonborough,Michealborough,0,124.55,170.13,183.87,Clear,Evening,Light
Anthonyland,Melvinburgh,3,416.87,488.33,519.53,Cloudy,Night,Light
North Rachelport,Jamesport,0,384.99,450.35,473.7,Clear,Night,Moderate
North Julieland,Taylorburgh,3,337.65,483.56,443.93,Foggy,Night,Light
Vargasfurt,Port Thomashaven,2,358.29,509.46,529.87,Cloudy,Morning,Heavy
Leslieberg,Lake Oscar,2,329.42,343.65,320.41,Foggy,Morning,Light
Port Donaldside,Lake Anthony,1,274.51,383.6,396.29,Rainy,Evening,Moderate
Danielview,Lisaborough,2,244.61,293.68,296.71,Clear,Morning,Light
North Elizabethton,Mitchellton,1,235.11,295.63,311.46,Clear,Morning,Light
Davidville,Caseyfort,1,67.6,78.4,83.59,Cloudy,Night,Light
West Lindsey,New Jenny,3,465.34,661.86,673.5,Foggy,Morning,Moderate
Melanieberg,Port Ronald,2,318.15,454.4,488.68,Cloudy,Evening,Moderate
New Christophershire,Port Frederickton,2,126.36,147.05,149.78,Rainy,Evening,Heavy
Lake Tylerstad,South Michaelfurt,3,295.08,314.87,315.54,Rainy,Night,Moderate
New Mathewside,New Aaron,0,448.63,633.88,603.36,Foggy,Afternoon,Light
Adrianshire,Briantown,1,453.1,650.02,610.15,Rainy,Afternoon,Light
Haleport,East Michellefurt,1,370.38,545.97,588.1,Foggy,Evening,Moderate
Pamelaview,Thompsontown,0,247.77,275.12,258.63,Foggy,Afternoon,Heavy
New Kayla,Port Ashleyton,0,339.83,376.73,368.61,Clear,Night,Light
Lake Jerry,Port Bryanshire,1,454.54,513.42,520.05,Cloudy,Night,Light
Nelsonberg,Angelaton,3,289.39,430.81,415.68,Rainy,Evening,Light
West Melissahaven,South Sherylton,1,113.91,145.11,156.21,Foggy,Afternoon,Heavy
West Mariashire,Jamesville,3,305.11,443.42,416.61,Clear,Evening,Light
Sextonborough,Sharonbury,2,37.15,38.37,40.41,Cloudy,Morning,Heavy
Barbaraberg,Michaelfort,0,199.59,224.75,236.78,Clear,Evening,Moderate
South Breannaside,Jonesfurt,2,35.57,49.96,51.04,Cloudy,Morning,Heavy
Lake Emilyland,Robertfort,3,104.41,151.37,153.03,Clear,Afternoon,Light
Gomezland,South Bonnie,3,411.78,482.27,506.18,Rainy,Afternoon,Heavy
Ryanborough,Lake Kathy,3,490.57,690.57,650.4,Clear,Afternoon,Light
West Tinaton,New Gabriellechester,0,65.67,93.01,101.06,Foggy,Evening,Moderate
Lake Julieburgh,Garciaton,3,364.32,458.59,413.21,Cloudy,Afternoon,Heavy
Candiceberg,Mikemouth,0,260.93,292.45,295.14,Rainy,Afternoon,Light
East Trevorhaven,West Daniel,1,361.95,449.61,449.66,Cloudy,Evening,Moderate
Lake Maria,Alexandramouth,0,263.81,380.75,364.27,Rainy,Evening,Moderate
Port Melissaberg,Port Troyfurt,2,185.58,266.18,278.64,Rainy,Morning,Light
Cherylborough,Simsberg,0,472.17,535.69,581.81,Rainy,Night,Light
Port Amandachester,South Norma,1,391.04,484.5,441.01,Rainy,Afternoon,Moderate
New Jonathon,New Emilyfurt,0,74.84,90.11,88.91,Foggy,Afternoon,Moderate
East Arielburgh,Melissaview,0,169.0,174.11,180.91,Clear,Morning,Heavy
Lake Crystalborough,North Lisa,0,474.64,483.0,521.07,Foggy,Morning,Light
Lake Joseph,Catherineland,2,406.69,528.45,480.32,Clear,Evening,Light
Hernandezview,Banksland,2,284.72,290.21,263.65,Cloudy,Evening,Moderate
East Meghanmouth,Clarkmouth,1,103.87,113.07,115.64,Clear,Evening,Light
North Gary,East Jameston,2,276.2,371.11,397.38,Clear,Night,Heavy
Port Martha,Jenniferview,2,222.28,308.92,326.97,Clear,Morning,Heavy
South Garrett,Smithstad,1,485.44,544.6,492.55,Cloudy,Morning,Moderate
New Marymouth,Tonystad,0,241.28,300.81,307.04,Rainy,Morning,Moderate
Kathrynhaven,Katherineburgh,2,387.78,458.97,454.25,Clear,Night,Light
Morrisonland,Christophermouth,1,226.81,323.44,301.68,Cloudy,Evening,Heavy
Kurtport,North Amandaland,3,376.33,452.87,455.94,Clear,Morning,Light
Lake Lori,Browningview,3,441.74,586.43,619.49,Rainy,Evening,Moderate
South Andrew,Hillfurt,0,381.1,491.49,509.24,Rainy,Evening,Moderate
New Reneeberg,Port Miranda,0,463.25,490.96,537.19,Clear,Morning,Moderate
Kleinshire,West Kellyborough,3,337.92,382.92,396.41,Clear,Evening,Light
West Brittany,Benjaminville,2,476.88,624.91,663.12,Foggy,Afternoon,Heavy
Chelseahaven,Pattersontown,0,395.2,465.37,446.46,Foggy,Night,Light
Loveburgh,Kimhaven,0,426.0,624.15,606.15,Foggy,Afternoon,Heavy
Armstrongview,Shannonberg,3,276.14,278.71,268.82,Cloudy,Morning,Heavy
Ramirezberg,Bakerfort,0,372.66,383.1,384.55,Rainy,Morning,Heavy
Brooksland,Port Richard,1,261.55,349.48,378.39,Clear,Night,Light
South Anthonyshire,New Terrychester,2,352.48,409.65,435.47,Clear,Night,Heavy
Jamesfort,Blaketon,3,342.27,371.0,399.85,Foggy,Night,Light
East Ashleychester,Nicolemouth,3,234.67,239.51,255.51,Rainy,Morning,Moderate
New Pamelashire,Port Christinehaven,3,108.56,114.83,124.08,Cloudy,Afternoon,Light
Collinsport,West Michaelfurt,0,486.0,693.53,710.53,Clear,Evening,Heavy
New Rebeccaside,North Darleneville,1,437.26,626.45,668.12,Cloudy,Afternoon,Heavy
North Jeffrey,Stephanieborough,3,485.53,701.72,678.06,Rainy,Afternoon,Heavy
Daniellefort,Olsentown,2,20.52,23.39,22.79,Foggy,Night,Light
Davidchester,South Terri,1,431.34,646.93,622.71,Rainy,Morning,Light
East Nancy,Moranburgh,0,270.83,306.95,302.32,Foggy,Morning,Light
North Kristinstad,South Johnburgh,3,65.72,83.93,88.26,Rainy,Night,Light
Joseport,Wrightstad,3,36.88,54.72,51.98,Cloudy,Morning,Light
North Lisaborough,Port Kevin,1,163.88,202.45,183.01,Foggy,Morning,Heavy
West Amanda,Teresaberg,0,486.42,684.34,629.15,Rainy,Night,Moderate
Martinezberg,Garciafort,2,430.09,543.29,532.34,Rainy,Evening,Moderate
Port Johnstad,Marissaburgh,1,437.83,439.02,447.84,Foggy,Evening,Moderate
Amberchester,Lake Todd,0,11.59,13.0,14.21,Rainy,Morning,Moderate
Monicachester,Lake Willie,1,319.03,462.41,441.86,Rainy,Morning,Light
West Anthony,South Annefurt,1,155.5,213.88,196.93,Foggy,Night,Light
Lake Mary,North David,1,485.41,542.55,544.11,Foggy,Morning,Heavy
Port Robert,Sarahchester,3,444.93,540.39,501.64,Rainy,Night,Heavy
Smithville,Lake Mathew,1,116.15,128.29,125.3,Rainy,Morning,Heavy
Meghanside,Port Raymondville,2,117.19,169.26,159.69,Rainy,Evening,Heavy
Michaeltown,East David,3,49.26,58.1,57.22,Foggy,Night,Moderate
Michelechester,West Haley,3,493.26,563.21,579.78,Cloudy,Morning,Heavy
North Michael,Lake Jefferytown,3,293.91,344.98,350.63,Cloudy,Morning,Moderate
West Cherylmouth,Taylorshire,2,383.47,443.97,406.68,Clear,Afternoon,Moderate
Josebury,New Debra,2,315.96,366.4,400.05,Rainy,Evening,Light
Jonathanhaven,Jamiefort,3,21.17,28.76,30.13,Clear,Evening,Light
South Angelaview,Lake Brendaville,1,434.07,505.69,483.01,Cloudy,Night,Light
Mariomouth,Thompsonshire,1,421.08,425.71,395.35,Cloudy,Afternoon,Light
South Karen,West Keith,0,281.0,420.26,435.1,Cloudy,Afternoon,Moderate
Mariaport,New Michaelborough,0,293.76,401.17,406.69,Foggy,Morning,Heavy
North Alexhaven,Port Jessicaton,1,10.25,10.43,9.63,Clear,Morning,Moderate
East Carrietown,Brownton,0,259.45,261.61,275.8,Rainy,Evening,Heavy
Beckerland,South Ericaton,0,273.46,314.39,301.21,Foggy,Evening,Moderate
West Lindsey,Jamesborough,0,241.79,269.59,287.72,Foggy,Evening,Light
West Beth,South Edward,0,239.8,250.79,267.21,Cloudy,Afternoon,Moderate
North Lindsayshire,Cruzchester,2,82.45,85.32,84.03,Rainy,Evening,Heavy
North Chad,Thompsonland,1,494.83,557.95,528.57,Foggy,Evening,Moderate
East Chelseaville,Aaronberg,3,255.14,303.93,277.49,Clear,Evening,Moderate
Ericaport,Nelsonstad,3,394.36,503.68,548.39,Foggy,Afternoon,Moderate
Robertburgh,Longton,2,209.78,286.93,276.91,Cloudy,Evening,Heavy
Parkerburgh,North Kathrynborough,2,341.0,455.47,434.47,Foggy,Evening,Moderate
Romeroville,Smithfurt,1,456.35,578.97,523.77,Foggy,Morning,Moderate
Kristibury,Port Patrickberg,3,272.06,384.87,365.81,Cloudy,Evening,Light
Rickytown,Cherylberg,1,382.66,385.7,415.69,Cloudy,Night,Moderate
Tiffanyfurt,Nicholasmouth,1,395.22,460.18,424.59,Foggy,Evening,Moderate
Richardville,Travischester,0,498.03,644.97,698.34,Foggy,Evening,Moderate
Melissaview,Ronaldview,0,498.67,728.58,662.05,Rainy,Evening,Moderate
Angelaburgh,Ruizfort,0,137.07,185.49,192.76,Rainy,Night,Heavy
Delgadohaven,Port Stephanie,1,396.88,505.69,458.28,Rainy,Night,Heavy
Nicholasburgh,Port Joseph,3,218.04,258.11,236.22,Foggy,Afternoon,Heavy
Bondbury,Arnoldmouth,1,487.94,512.76,482.5,Foggy,Morning,Light
Juarezville,Amyberg,3,357.15,535.47,554.95,Cloudy,Morning,Light
Chapmanmouth,Lake Richardbury,0,465.14,549.74,516.1,Clear,Evening,Moderate
Jonathanville,West Deborah,0,35.19,45.23,41.18,Clear,Night,Moderate
Gentryview,Brownfurt,0,488.55,551.81,574.2,Rainy,Evening,Heavy
North Vickie,Gallegosland,1,261.68,336.03,302.86,Cloudy,Morning,Moderate
Lake Meganland,Tracyshire,1,405.95,545.07,502.63,Rainy,Night,Heavy
Patriciaview,Justinside,3,492.74,512.45,523.34,Rainy,Night,Light
Carlsonstad,Diamondborough,1,17.07,24.82,25.15,Foggy,Afternoon,Light
Port Jaimeton,East Ashley,1,286.43,291.91,310.15,Rainy,Morning,Heavy
Lake Matthewville,Port Jacobchester,3,431.42,431.51,402.61,Foggy,Evening,Light
Port Brenda,Annetteberg,1,392.0,411.26,416.47,Cloudy,Night,Heavy
West Andrew,Rojasshire,2,292.61,382.84,349.9,Cloudy,Night,Heavy
Hahnchester,North Leechester,3,326.56,409.14,416.31,Foggy,Afternoon,Light
Lake Jorge,Melaniemouth,3,422.57,568.75,520.08,Clear,Morning,Heavy
West Raymondport,Parkermouth,3,444.42,601.35,589.43,Cloudy,Morning,Heavy
Stephaniestad,South Misty,1,125.17,144.82,136.45,Cloudy,Evening,Moderate
Lake Leah,Colemanport,3,321.71,461.69,505.4,Rainy,Night,Heavy
South Caitlintown,Gonzalezland,2,280.31,362.5,329.25,Cloudy,Afternoon,Light
North Jay,Caitlynberg,1,226.54,261.55,269.14,Cloudy,Afternoon,Heavy
Marystad,South Anthonyfurt,3,50.91,64.31,63.51,Cloudy,Night,Light
Angelaburgh,New Jillianburgh,2,397.78,457.85,482.76,Rainy,Night,Moderate
Matthewberg,Millerburgh,3,283.98,341.69,338.98,Cloudy,Night,Heavy
North Richard,Jacobville,3,413.71,544.55,546.05,Clear,Afternoon,Heavy
Morrisside,North Biancafort,1,97.78,144.98,137.74,Foggy,Evening,Heavy
Valenzuelashire,South Calebport,0,342.84,359.99,382.37,Cloudy,Evening,Light
Geoffreyport,New Dawnville,1,252.46,291.3,313.64,Clear,Evening,Moderate
Taylortown,Moonfurt,1,309.12,443.9,417.2,Cloudy,Evening,Light
